,Participant,Comparison Hertz,3s-pre-ready,2s-pre-ready,1s-pre-ready,0th-time,at-ready,1s-post-ready,2s-post-ready,at-standard,1s-post-standard,2s-post-standard,3s-post-standard,at-comparison,1s-post-comparison,2s-post-comp,3s-post-comp,at-response,1s-post-response,2s-post-response,3s-post-response,4s-post-response,Response (Correct/Incorrect),Baseline
7_2,7,820,2.752437118182182,2.3946513220977823,2.564127777184545,,2.576998631264968,2.7835432959597157,2.8118622894416148,2.735972425256739,2.6252955074875035,2.611176713322803,2.5663611108291704,2.5797809217825742,2.599892338335072,2.681217163236458,2.5232003608938403,2.461218039456737,2.5237736385486333,2.603449145135375,2.590361770413963,2.631273787410659,Correct,2.573544220139982
7_3,7,820,3.5845733377529374,3.6945816830772102,3.6943770500119397,,3.618288576642724,3.535020249177409,3.548524638898336,3.406513321577397,3.400743560700563,3.456207790376187,3.290832681737398,3.5169212325415056,3.6588183918164665,3.7562396005948986,3.7424655716493516,3.7485300770158787,3.830414814645296,3.7372279070642302,3.567607195891003,3.5785938924323277,Correct,3.639577510415074
8_1,8,820,4.28301081184031,4.534603248189038,4.478264639565543,,4.531307910441872,4.501177065663115,4.837287439190139,4.372912042900603,3.984214495904971,4.363167539434022,4.444788500301431,4.460678777942413,4.216085046589916,3.972775831203112,4.39549234039403,4.243658351048476,3.89156674159374,3.829339533297028,4.145448875870845,3.932639283157051,Correct,4.408807030014674
8_2,8,820,5.0531248357106,4.515570333048636,4.054388726121941,,3.993714761613642,4.235240069602241,4.06190629224178,3.2891196412851196,3.8800406249800403,4.197299862562773,4.078936871962104,4.035006728869636,4.28646443158597,4.719917691469293,4.15643625153471,4.217359654480183,4.568872431338789,4.837534432359561,4.631603503714608,4.800549156542455,Correct,4.784347584379618
8_3,8,820,3.6312025689608776,3.842501782609303,4.030367831412989,,3.4756876830694914,3.0864466334822236,3.250336807763106,3.6137601063501354,3.647560564837885,3.6359343083785602,3.040454849824137,3.423294277265916,3.6689507507015655,2.924715551405016,3.2353430196117574,3.337587751661976,4.072381704968557,4.216354937921429,3.7848261815390307,3.583274719724184,Correct,3.7368521757850903
9_1,9,820,3.4157693203750754,3.3991136611478825,3.408213457414396,,3.2983519334520386,3.2980405061954388,3.3583400074801877,3.3548437052802593,3.4625405664381113,3.541309212323982,3.553779805405178,3.452569037831923,3.637344729120229,3.3528467335719263,3.3766143524619285,3.526710332545906,3.682991302990815,3.678093048760346,3.654955758203729,3.5341464450562445,Correct,3.407441490761479
9_2,9,820,3.6746724464171083,3.5315340737665015,3.400490892222176,,3.335329949475748,3.349182037984305,3.3681023442405897,3.3680780150361365,3.4183273734036805,3.454216650570081,3.4804793197128725,3.479878292000244,3.4571565203481884,3.5572221961653896,3.2967392185661595,3.2982205050118223,3.3624498226941415,3.4726609080396162,3.4190494411219903,3.4682679998430177,Correct,3.603103260091805
9_3,9,820,,,,3.4775796056353703,3.452529519080003,3.499940412655912,3.5300432126849173,3.4664825226237577,3.6302394443515063,3.6724780924336318,3.703806707616479,3.6779616681946963,3.697962436407037,3.6851124858705933,3.6035187517039025,3.624521237959347,3.6352859745464636,3.464833117569961,3.5791846137253094,3.5336331541704107,Correct,3.4775796056353703
11_1,11,820,3.468561379666302,3.490570986537018,3.3863408120474747,,3.5650540446465535,3.548340287970165,3.5949883741814,3.595955798626389,3.595814878854196,3.5953973745059264,3.587082588652817,3.8508058493736645,3.8475038465915574,3.8481455403686677,3.848188701855194,3.847659087239983,3.83312485325762,3.942174272681609,4.049379374041933,3.884267982653496,Correct,3.47956618310166
11_2,11,820,4.2159561674743715,3.9660941712252,3.7670188806873313,,4.195977455300766,3.902126229370852,3.7099065687657236,3.684707601905558,3.598355908901325,3.449720111780371,3.750781872061879,4.020631452482615,3.917392568661862,3.5833543019121676,3.3505117948006697,3.7899712801381478,3.8337344823344472,4.084909525415352,4.18064177643978,4.113592062733017,Correct,4.091025169349786
