,Participant,Comparison Hertz,3s-pre-ready,2s-pre-ready,1s-pre-ready,0th-time,at-ready,1s-post-ready,2s-post-ready,at-standard,1s-post-standard,2s-post-standard,3s-post-standard,at-comparison,1s-post-comparison,2s-post-comp,3s-post-comp,at-response,1s-post-response,2s-post-response,3s-post-response,4s-post-response,Response (Correct/Incorrect),Baseline
11_5,11,832,3.588547704827787,3.5119671618438466,3.502068812337298,,2.7759715315305487,3.474085578692943,3.705714419241749,3.474671675341584,3.430550655419193,3.307656380867514,3.579934710397008,3.498742551364428,3.3900886651084496,3.577855582708821,3.734107269117648,4.405138920668551,3.891906212953399,3.975351270593869,3.648980963018592,3.796332749241052,Correct,3.550257433335817
12_1,12,832,2.8012718358066726,2.7344789793996855,2.8515106438990743,,2.6730672580481496,2.722307373744728,2.7149419026339685,2.736650338535291,2.704761161538068,2.642177237380833,2.7171071595922145,2.7107899271119367,2.735301642377016,2.729527283432585,2.60686051709007,2.628202290155407,2.8428405722118177,2.852713474342573,1.3450382095383389,2.6583521857322494,Correct,2.767875407603179
12_2,12,832,,,,2.686771258413534,2.70942362619905,2.6560195927032315,2.6882620197711766,2.862477601167334,2.8331987581767626,2.781162050907462,2.7362961311461165,2.666375991178034,2.6448386665774697,2.570406389626694,2.584500964807491,2.6209634331869704,2.7453770500139854,2.9109793056858746,2.8877810476104515,2.777828609030112,Correct,2.686771258413534
12_3,12,832,,,,3.070476207051422,3.1118442176595007,2.8731364105725987,2.801526754926212,2.674155431653294,2.5172237628030625,2.8776409075500067,2.491161431106905,2.5127007090657627,2.7801873190305124,2.7801873190305124,2.535734821007743,2.5157669045082605,2.434760099612334,2.434760099612334,2.7510408706994416,2.571754527363244,Correct,3.070476207051422
12_4,12,832,2.3978270314422123,2.4901774485343733,2.5368652420204625,,2.341339384606253,2.3482816526441113,2.3485677775635474,2.3488434406820278,2.3474864057727918,2.4557743579265674,2.4523585342820886,2.4521108880812004,2.450604105510378,2.448321948599344,2.245519042260897,2.095959896560104,2.271471637316514,2.3495494377233053,2.2604789501252713,2.167751924723007,Correct,2.4440022399882926
12_5,12,832,2.54857907311468,2.3073451316878053,2.931314769164423,,2.2527953491925463,2.278475771937728,2.2794768738891626,2.16127677189773,2.159329412296036,2.2943886601112116,2.2880147848129786,2.1932217614040135,2.2757992103465208,2.373539662834848,2.298857361090863,2.236797609507084,2.280942614087435,2.35009382662652,2.32244586000847,2.3009568226854893,Correct,2.4279621024012426
13_1,13,832,2.4918553551303035,2.497568527264766,2.562784780963001,,2.072508771146006,2.5029829260035688,2.12478000517053,2.099010724750736,2.376613557050511,2.3635171918131466,2.4446930801347886,2.198506120105002,2.393028907227297,2.2405273488359474,2.238182218816074,2.4859481058950843,2.5918069795903085,2.4591190136434258,2.1520392738919494,1.880388273701386,Correct,2.4947119411975347
13_2,13,832,2.076846792590981,2.011540743484807,1.8452187577309815,,2.1321850927692303,2.002787949677734,1.9632806046795128,1.7752945131374493,1.3550554680000073,1.2824763700089996,1.6330292136080822,1.5783495460227281,1.8740250411822483,2.1060584290418967,1.7664086583506167,2.0132734175885947,1.858303854110973,2.0412622234238142,2.4243363402491114,2.196452946491284,Correct,2.044193768037894
13_3,13,832,1.9678164231583848,1.5950496107118104,1.681419384180344,,1.6512396158839886,1.6191214047842588,1.6108129379414557,1.6105311994780849,1.6111786601083058,1.604492968064281,1.9317419001870115,1.9206181447610606,1.9201034923559295,1.9200961609924787,1.9200972588661014,1.9201233609950465,1.9206344733487015,1.9248858119727035,2.04264193169401,2.183659238965706,Correct,1.7814330169350976
13_4,13,832,2.4538515121567688,2.377323273903869,2.45960137348552,,2.1136460044615757,2.090874749370445,2.090435508141066,2.090426412738561,2.0904282005025654,2.0904272369206014,2.0904240834439145,2.090767507211152,2.082662585187247,2.0830148232914563,2.08302659078085,2.0830267155381677,2.0830279102419835,2.082979098254789,2.08074872888794,2.086647399519622,Correct,2.415587393030319
13_5,13,832,1.7596081888536086,1.5707827872079023,1.4915620649580343,,1.9238493089670545,2.1853303374775597,2.0336777963807156,1.592808609747919,1.8922038044137919,2.01023489641789,2.06194133198897,2.0247481072560336,2.18789030694473,2.1743595249324383,1.7322096464171668,1.9253109815815515,1.6909184624549491,1.5280326597240805,1.4846248756776679,1.5027045571124882,Correct,1.6651954880307556
14_1,14,832,3.2229882073362366,3.3734627884624655,3.495172351620071,,3.884034475033263,3.7921896657704495,3.830710442701556,3.830710442701556,3.830710442701556,2.683444566148466,2.683444566148466,2.683444566148466,2.683444566148466,2.683444566148466,3.712219594989702,3.664331791134357,4.062157774252197,4.161879486207552,4.266885082723042,3.764027346010909,Correct,3.298225497899351
14_2,14,832,,,,3.941178915588116,3.8873989433065415,3.5641074810804576,3.837106502713537,3.477839755175284,3.6555675574305515,3.862363438394162,3.8608583168823123,3.347792389684084,3.6799543385124918,4.006176511049364,3.780817692804068,3.536454335406554,3.7731255199447227,4.012251974568076,4.3941405601940255,3.8007091628023217,Correct,3.941178915588116
14_3,14,832,3.50027826186339,3.424200560452816,3.210233897683596,,3.208956180190321,3.1561163832902746,3.2304003259168197,3.4475501917791025,3.719148339947142,3.688757520526336,3.5725953132992423,3.410961704142029,3.737940563713581,3.9587725389439012,3.9548671147461523,4.0006110605589145,2.606901519007956,2.668011870994185,2.761165765064732,3.9143319420860854,Correct,3.462239411158103
14_4,14,832,4.1100523422245665,4.0101364519339056,3.9602584237326237,,3.534314569253388,3.2959595085925635,3.292130828462061,3.3753507219234655,3.3977070766228916,2.9648819393643198,3.506035952778873,3.60838104550837,3.8128127022672884,3.990982279084484,4.054252938636953,4.004759364271157,3.959516791664419,3.9524654072297984,3.843258906399501,3.6837160050378306,Correct,4.0600943970792365
14_5,14,832,3.2027406607527342,3.170585808957617,2.9873793771489243,,3.13428461363856,3.229251795160086,3.332559920278696,3.543638065678296,3.773362847227889,3.647190426509993,3.511771902287017,3.2436761762263453,3.4796228903694417,3.731386307012888,3.535524201095467,3.435347820191998,3.168878568008578,3.590272329321925,3.533525512447544,3.510235077655521,Correct,3.1866632348551756
3_1,3,838,3.7770682744798356,3.4826106710936364,3.354972860108178,,3.529254840487788,3.505838308658213,3.4864131573965222,3.4985602493216814,3.5871210126759645,3.6688586116497475,3.4960091244721236,3.548116609425501,3.635094746025569,3.7973320351961415,3.799227222861244,3.702081608603455,3.862632474921759,4.159494466929022,4.117089847604943,4.163291161379731,Correct,3.629839472786736
3_2,3,838,4.613737828934555,4.638647748474065,4.526686339844798,,4.224971696306721,3.9904324697614286,3.9875438925211584,4.238992810127119,4.392558465022972,4.39994510035152,4.4958403791068005,4.4737307561335,4.478853246186163,4.500089028506294,4.517700349872203,4.531739713806097,4.507844514152803,4.522652159015033,4.754102112943095,4.82437538957436,Incorrect,4.62619278870431
3_3,3,838,4.097767382950815,3.9255585732145173,4.134003486254962,,4.0954952082822995,4.242971565064716,4.134497372842423,4.178879999096134,4.2385945594717445,4.38310331103336,4.345810378093554,4.288621484139153,4.332908743518698,4.29876941344214,4.4604171722913035,4.27111978980029,4.100582891010513,4.412559616706017,4.566574497642939,4.566903298347439,Incorrect,4.011662978082667
3_4,3,838,4.105847091682309,4.092329030745074,4.08209569365321,,4.141466166832603,4.068982758947073,4.043038772617338,4.04484586026935,4.1103498777431975,4.081561652640962,4.166599865350847,4.157420368651812,4.151337267863401,4.1637979691465805,4.177196406184573,4.039040832855131,3.9908101712476713,4.1757000255086245,4.430463808466973,4.470929732248201,Incorrect,4.099088061213692
3_5,3,838,3.490851358084811,3.791171750157025,3.7996714281623265,,3.4296691282840186,3.3589275612525893,3.323504068934722,3.5663093269120294,3.5052296328200625,3.589279066256645,3.5466707196107903,3.6052990612549896,3.6805021758622223,3.8425712729655053,3.8681826399141235,3.743593886662234,3.8926226304923097,4.033695926714159,4.108127640573272,4.0880601773415925,Correct,3.641011554120918
4_1,4,838,3.958424102968152,3.893357505242538,3.8202609212758296,,3.7552615068847532,3.5344767494211875,3.4419881838497366,3.4332560334204536,3.3970353349501665,3.5339848827635327,3.5639560235356074,3.545418057002747,3.616828115790161,3.6680001054595843,3.6866184446112067,3.656744739757097,3.6994870008828973,3.788049642131756,3.7943216225539858,3.7417533295877696,Correct,3.925890804105345
